State,Specialties,Experience,Price
California,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Luxury
Pennsylvania,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Iowa,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
"New York, New Jersey, Connecticut","Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Luxury
Michigan,"Wedding, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Moderate
Texas,"Wedding, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Average
California,Branding/Headshots,1+ years 4+ years in business,Investment: Premium
California,"Maternity, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Illinois,"High School Seniors, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
"Georgia, Florida, Tennessee, Alabama","Wedding, High School Seniors, Family/Children, Newborn, Birth",1+ years 4+ years 9+ years in business,Investment: Moderate
Iowa,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Colorado,High School Seniors,1+ years 4+ years 9+ years in business,Investment: Premium
Vermont,"High School Seniors, Family/Children, Newborn, Maternity, Animals",1+ years 4+ years in business,Investment: Moderate
"South Dakota, Nebraska","Wedding, Elopement, Family/Children, High School Seniors, Newborn",1+ years 4+ years 9+ years in business,Investment: Moderate
"Massachusetts, New Hampshire, Connecticut, Vermont",Animals,1+ years 4+ years in business,Investment: Average
Louisiana,"Wedding, Elopement, High School Seniors, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Average
District of Columbia,"Wedding, Elopement, Family/Children, Newborn, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Indiana,"Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Oregon,Animals,1+ years 4+ years 9+ years in business,Investment: Moderate
Nebraska,"High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
South Dakota,Branding/Headshots,1+ years 4+ years 9+ years in business,Investment: Premium
Illinois,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Average
California,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
Nebraska,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Florida,"Family/Children, Newborn, Maternity",1+ years 4 + years 9+ years in business,Investment: Moderate
Virginia.,"High School Seniors, Family/Children, Branding/Headshots, Boudoir",1+ years 4+ years 9+years in business,Investment: Moderate
Montana,Wedding,1+ years 4+ years 9+ years in business,Investment: Luxury
Iowa,"Wedding, High School Seniors, Family/Children, Newborn, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
Illinois,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
California,Branding/Headshots,1+ years 4+ years in business,Investment: Premium
Delaware,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
"Tennessee, Mississippi, Florida",Branding/Headshots,1+ years 4+ years 9+ years in business,Investment: Moderate
"Nebraska, South Dakota, Utah","Wedding, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Kansas.,"High School Seniors, Family/Children, Newborn, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
South Dakota,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Minnesota,"Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
South Carolina,"Wedding, Elopement, Family/Children, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Luxury
"North Dakota, Texas","Family/Children, Newborn",1+ years 4+ years in business,Investment: Average
Pennsylvania,"Family/Children, Newborn, Birth, Maternity, Boudoir",1+ years 4+ years in business,Investment: Premium
"Massachusetts, Rhode Island",Branding/Headshots,1+ years 4+ years 9+ years in business,Investment: Premium
Oregon,"Wedding, Elopement, High School Seniors, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Nebraska,"Wedding, High School Seniors, Family/Children, Newborn",1+ years in business,Investment: Moderate
"California, Arizona","Wedding, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
"Tennessee, California",Branding/Headshots,1+ years 4+ years 9+ years in business,Investment: Premium
Pennsylvania,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
"Texas, Florida, Oklahoma","High School Seniors, Family/Children, Maternity, Animals, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Colorado,"High School Seniors, Family/Children, Maternity",1+ years in business,Investment: Moderate
North Carolina,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
"Oregon, Washington","Wedding, Elopement",1+ years 4+ years in business,Investment: Average
Washington,"Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Average
Missouri,Wedding,1+ years 4+ years 9+ years in business,Investment: Average
Nebraska,"Maternity, Newborn, Family/Children",1+ years 4+ years in business,Investment: Average
California,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
"Oregon, Washington","Family/Children, Newborn, Birth, Maternity",1+ years 4+ years in business,Investment: Moderate
Iowa,"High School Seniors, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Premium
Ohio,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
Wisconsin,Boudoir,1+ years 4+ years in business,Investment: Premium
Maryland,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Luxury
Illinois,"Wedding, Elopement, Family/Children, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Florida,"Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
Georgia,"Wedding, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
"Nevada, California","High School Seniors, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
Iowa,"Wedding, Elopement, High School Seniors, Family/Children, Newborn",1+ years 4+ years 9+ years in business,Investment: Moderate
"Massachusetts, Rhode Island","Wedding, Elopement, Family/Children, Maternity",1+ years 4+ years in business,Investment: Average
Montana,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots","1+ years, 4+ years, 9 + years in business",Investment: Moderate
Arizona,"Family/Children, Newborn, Maternity, Branding/Headshots, Boudoir",1+ years in business,Investment: Premium
California,"Maternity, Boudoir",1+ years 4+ years in business,Investment: Premium
Michigan,Wedding,1+ years 4+ years 9+ years in business,Investment: Moderate
Indiana,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
"Ohio, Pennsylvania","Wedding, Elopement, Family/Children",1+ years 4+ years in business,Investment: Moderate
Hawaii,"Wedding, Elopement, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Tennessee,"Wedding, Elopement, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Tennessee,"Wedding, High School Seniors",1+ years 4+ years 9+ years in business,Investment: Average
"Hawaii, California","Wedding, Elopement, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Premium
Iowa,"Wedding, High School Seniors, Family/Children, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Nebraska,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
Colorado,"Wedding, High School Seniors, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
"Connecticut, New York, Massachusetts, New Jersey","Family/Children, Newborn, Birth, Maternity",1+ years 4+ years in business,Investment: Moderate
Tennessee,"Wedding, Elopement, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
"Pennsylvania, Ohio","Family/Children, Newborn, Birth, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
"Pennsylvania, West Virginia, Ohio","Wedding, Elopement, High School Seniors, Family/Children, Other Portraits",1+ years in business,Investment: Average
South Dakota,"Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Premium
"Ohio, South Carolina","Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Premium
New Jersey,Wedding,1+ years 4+ years 9+ years in business,Investment: Premium
"Michigan, Indiana","Family/Children, Newborn, Birth, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
"California, Nevada, Florida, Arizona","Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Average
"Indiana, Ohio, Illinois, Michigan",Wedding,1+ years 4+ years in business,Investment: Moderate
Missouri,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
"South Carolina, North Carolina","Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Moderate
Colorado,"Wedding, Elopement, Family/Children, Maternity, Boudoir",1+ years 4+ years in business,Investment: Moderate
Connecticut,"Wedding, Elopement, High School Seniors, Family/Children, Newborn",1+ years 4+ years 9+ years in business,Investment: Moderate
Missouri,"Wedding, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Texas,"Wedding, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
Pennsylvania,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
"South Dakota, Iowa, Minnesota, Nebraska","Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Tennessee,"Wedding, High School Seniors",1+ years in business,Investment: Average
California,"Wedding, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Florida,Newborn,1+ years 4 + years 9+ years in business,Investment: Premium
California,"Wedding, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Moderate
Georgia,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Georgia,"Wedding, High School Seniors, Family/Children, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
"Minnesota, North Dakota",Wedding,1+ years in business,Investment: Moderate
Ohio,"Wedding, Elopement, High School Seniors, Family/Children, Boudoir",1+ years in business,Investment: Moderate
Michigan,"High School Seniors, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Moderate
"North Carolina, Nevada, Arizona, Georgia","High School Seniors, Family/Children, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Premium
Indiana,"Newborn, Birth, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Michigan,"High School Seniors, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
"Hawaii, Nevada, California, Oregon","Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
"North Carolina, California, Washington, Nevada","Wedding, Elopement, High School Seniors, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Georgia,"Family/Children, Maternity",1+ years in business,Investment: Moderate
"Oregon, Washington, Ohio","High School Seniors, Family, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Wisconsin,"High School Seniors, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
New Jersey,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
Colorado,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
South Carolina,"Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Massachusetts,"High School Seniors, Family/Children, Branding/Headshots, Animals",1+ years 4+ years 9+ years in business,Investment: Premium
"California, Nevada","Wedding, Elopement, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Premium
Iowa,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Virginia.,"Wedding, High School Seniors, Family/Children, Maternity, Animals",1+ years in business,Investment: Moderate
Indiana,"High School Seniors, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Indiana,"High School Seniors, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
Colorado,Newborn,1+ years 4+ years in business,Investment: Average
Pennsylvania,"Wedding, Family/Children, Newborn, Birth, Maternity",1+ years 4+ years in business,Investment: Moderate
Texas,"Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Washington,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Iowa,"Wedding, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Louisiana,"Wedding, Elopement, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Pennsylvania,"Wedding, Elopement, Family/Children, Newborn",1 years 4+ years 9+ years in business,Investment: Average
Oregon,"Wedding, Elopement",1+ years in business,Investment: Moderate
Maryland,"High School Seniors, Family/Children, Maternity, Branding/Headshots, Other Portraits",1+ years in business,Investment: Moderate
Georgia,"High School, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
"Kentucky, Tennessee","High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
North Carolina,"Wedding, Elopement, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Wisconsin,"Wedding, Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Georgia,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Indiana,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
"California, New York, Hawaii","Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
North Carolina,"Family/Children, Newborn, Maternity, Other Portraits",1+ years in business,Investment: Moderate
California,"High School Seniors, Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Arizona,"Wedding, High School Seniors, Branding/Headshots, Family/Children, Quinceañeras",1+ years 4+ years 9+ years in business,Investment: Moderate
"Maine, New Hampshire, Massachusetts, Rhode Island","Maternity, Animals, Other Portraits",1+ years in business,Investment: Premium
"North Carolina, South Carolina","Family/Children, Newborn, Maternity, Branding/Headshots, Boudoir",1+ years in business,Investment: Premium
Hawaii,"Wedding, Elopement",1+ years 4+ years in business,Investment: Premium
Iowa,"Wedding, Boudoir",1+ years 4+ years 9+ years in business,Investment: Average
"Colorado, Washington, California","Wedding, Elopement, Family/Children, Other Portraits",1+ years 4+ years in business,Investment: Average
Colorado,Wedding,1+ years 4+ years 9+ years in business,Investment: Moderate
North Dakota,"High School Seniors, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
Michigan,"Wedding, High School Seniors, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
"Utah, Colorado",Boudoir,1+ years 4+ years in business,Investment: Average
Maine,"Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
"South Carolina, Ohio, North Carolina","Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Indiana,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Washington,"Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Premium
"Massachusetts, Vermont, Maine, Rhode Island","Wedding, Family/Children, Newborn, Other Portraits",1+ years 4+ years in business,Investment: Average
New York,"Wedding, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Idaho,"Wedding, Elopement, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Moderate
"Louisiana, Mississippi, Florida","High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
California,"Branding/Headshots, Animals, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
Colorado,"Wedding, Family/Children",1+ years 4+ years 9+ years in business,Investment: Average
Indiana,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Ohio,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Branding/Headshots, Family/Children, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Nebraska,"Family/Children, Newborn, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Nebraska,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Oregon,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
Washington,Animals,1+ years in business,Investment: Premium
California,"Wedding, Family/Children, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
"Colorado, District of Columbia, Georgia, Hawaii","Wedding, Elopement, Family/Children, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Average
California,"Wedding, Family/Children, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
"Wyoming, Colorado, Nebraska","Wedding, Family/Children",1+ years 4+ years 9+ years in business,Investment: Moderate
Michigan,"High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
Utah,"High School Seniors, Family/Children, Branding/Headshots, Animals",1+ years 4+ years 9+ years in business,Investment: Premium
"North Dakota, Montana, South Dakota, Minnesota","Wedding, Elopement, High School Seniors",1+ years 4+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Oklahoma,"Wedding, Family/Children, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
Missouri,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Premium
Michigan,"Wedding, Elopement, Boudoir",1+ years 4+ years in business,Investment: Average
"New York, Georgia","Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Average
"Minnesota, Wisconsin","Wedding, Elopement, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Indiana,"Wedding, Elopement",1+ years 4+ years in business,Investment: Moderate
Illinois,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
California,"Wedding, High School Seniors, Family/Children, Maternity",1+ years 4+ years in business,Investment: Moderate
Maryland,"Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Florida,"Family/Children, Newborn",1+ years 4+ years in business,Investment: Moderate
Missouri,"Wedding, Elopement, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Georgia,"Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
Texas,"Wedding, High School Seniors, Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Illinois,"Wedding, Elopement, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Premium
Washington,"Wedding, Elopement, Family/Children, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Michigan,"High School Seniors, Family/Children, Branding/Headshots, Quinceañeras",1+ years 4+ years 9+ years in business,Investment: Premium
Colorado,"Wedding, Family/Children, Branding/Headshots, Animals",1+ years 4+ years in business,Investment: Moderate
Indiana,"Wedding, Family/Children, High School Seniors, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Illinois,"Wedding, High School Seniors, Family/Children, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Illinois,"Family/Children, Newborn, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors",1+ years 4+ years in business,Investment: Moderate
Tennessee,"Wedding, Elopement, Family/Children, Newborn, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Pennsylvania,"High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Moderate
California,"High School Seniors, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Premium
Missouri,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
Vermont,Wedding,1+ years 4+ years 9+ years in business,Investment: Premium
Kansas.,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Minnesota,"Wedding, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
"Oregon, Texas","Animals, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
Oregon,"Family/Children, Newborn, Birth",1+ years 4+ years in business,Investment: Moderate
Texas,Animals,1+ years 4+ years 9+ years in business,Investment: Premium
"Louisiana, Mississippi","Wedding, High School Seniors, Family/Children, Branding/Headshots, Boudoir",1+ years in business,Investment: Moderate
Missouri,"Family/Children, Birth, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Family/Children",1+ years in business,Investment: Moderate
Iowa,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Kentucky,Wedding,1+ years 4+ years 9+ years in business,Investment: Moderate
New York,"Wedding, Elopement, Family/Children, Maternity, Boudoir",1+ years 4+ years in business,Investment: Moderate
California,"Family/Children, Animals",1+ years 4+ years in business,Investment: Premium
Montana,"Wedding, Family/Children, Maternity","1+ years, 4+ years, 9 + years in business",Investment: Premium
Tennessee,"Elopement, Family/Children, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Ohio,Wedding,1+ years 4+ years  in business,Investment: Average
"Massachusetts, Rhode Island, Maine, Vermont","Wedding, Elopement, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Nebraska,"Wedding, High School Seniors, Family/Children, Newborn, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
California,Wedding,1+ years 4+ years in business,Investment: Moderate
Iowa,"High School Seniors, Family/Children, Newborn",1+ years 4+ years in business,Investment: Premium
Maryland,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
"West Virginia, Pennsylvania","High School Seniors, Family/Children, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Minnesota,"Wedding, High School Seniors, Newborn, Maternity, Family",1+ years in business,Investment: Moderate
Tennessee,"Elopement, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Iowa,"High School Seniors, Family/Children",1+ years 4+ years in business,Investment: Luxury
Montana,"Wedding, High School Seniors, Branding/Headshots, Other Portraits",1+ years in business,Investment: Moderate
Nebraska,Branding/Headshots,1+ years 4+ years 9+ years in business,Investment: Average
"Texas, New York, Louisiana","Maternity, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
Texas,"Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Michigan,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Connecticut,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
New Hampshire,"Wedding, Elopement, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Minnesota,"Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Illinois,"Wedding, Branding/Headshots",1+ years 4+ years in business,Investment: Premium
Colorado,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Maryland,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Kansas.,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
North Carolina,Boudoir,1+ years 4+ years 9+ years in business,Investment: Luxury
Ohio,"Family/Children, Maternity",1+ years in business,Investment: Moderate
Oklahoma,Animals,1+ years 4+ years in business,Investment: Average
Missouri,"Wedding, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Arizona,"Wedding, Elopement, Family/Children",1+ years 4+ years in business,Investment: Average
Colorado,"Wedding, Family/Children, Maternity, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
New Jersey,"Wedding, Family/Children, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Massachusetts,"Wedding, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
"Pennsylvania, Delaware, Maryland, New Jersey","Maternity, Animals, Boudoir",1+ years in business,Investment: Premium
"Indiana, Kentucky, Illinois","Wedding, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Nebraska,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Indiana,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Oregon,Boudoir,1+ years 4+ years 9+ years in business,Investment: Average
"Oregon, Washington","Branding/Headshots, Boudoir, Other Portraits",1+ years in business,Investment: Average
Georgia,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
"Maine, New Hampshire, Connecticut, Massachusetts","Elopement, High School Seniors, Family/Children, Maternity, Animals",1+ years in business,Investment: Moderate
Illinois,"High School Seniors, Family/Children, Maternity, Branding/Headshots, Animals",1+ years 4+ years 9+ years in business,Investment: Premium
Alaska,"Wedding, Elopement, Family/Children, Maternity, Boudoir",1+ year 4+ years 9+ years in business,Investment: Average
"Illinois, Missouri, Wisconsin","Wedding, Elopement, Newborn, Maternity, Animals",1+ years 4+ years in business,Investment: Average
"Connecticut, Rhode Island","Wedding, Elopement, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
"Virginia., North Carolina","Elopement, High School Seniors, Family/Children, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Iowa,"High School Seniors, Family/Children, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Luxury
Florida,"Family/Children, Newborn, Maternity",1+ years 4 + years 9+ years in business,Investment: Premium
Nebraska,"Wedding, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Washington,"Wedding, Elopement, High School Seniors, Family/Children",1+ years 4+ years in business,Investment: Moderate
New Jersey,"Wedding, Elopement, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Washington,"High School Seniors, Family/Children, Newborn, Maternity, Animals",1+ years 4+ years 9+ years in business,Investment: Moderate
Montana,"Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots","1+ years, 4+ years, 9 + years in business",Investment: Luxury
Missouri,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Luxury
"New Hampshire, Massachusetts","High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Oregon,Family/Children,1+ years 4+ years 9+ years in business,Investment: Moderate
New Hampshire,"Newborn, Maternity",1+ years 4+ years in business,Investment: Average
Nebraska,"Wedding, Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Nebraska,"Wedding, Newborn, Other Portraits",1+ years in business,Investment: Moderate
