State,Specialties,Experience,Price
Oregon,"Maternity, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Luxury
South Carolina,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Colorado,Boudoir,1+ years 4+ years 9+ years in business,Investment: Premium
"South Carolina, Georgia, Virginia.","Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Connecticut,Branding/Headshots,1+ years 4+ years 9+ years in business,Investment: Premium
Colorado,"High School Seniors, Family/Children",1+ years 4+ years in business,Investment: Luxury
Hawaii,"Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years 4+ years in business,Investment: Moderate
"Colorado, Wyoming, California","Wedding, Family/Children, Maternity",1+ years in business,Investment: Moderate
Utah,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Florida,"Family/Children, Maternity",1+ years in business,Investment: Average
Pennsylvania,"Wedding, Elopement, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Illinois,"Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
"Michigan, Colorado","Wedding, High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Nebraska,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Portraits",1+ years 4+ years in business,Investment: Moderate
New Mexico,"Newborn, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Premium
Illinois,"High School Seniors, Family/Children, Newborn, Maternity, Animals",1+ years 4+ years 9+ years in business,Investment: Premium
South Carolina,"Elopement, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
Oregon,Animals,1+ years 4+ years in business,Investment: Moderate
Hawaii,"Wedding, Elopement, Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Average
"Kansas., Missouri","Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
Pennsylvania,"Wedding, Elopement, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
"Indiana, Utah, Nevada",Wedding,1+ years 4+ years in business,Investment: Average
California,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Average
Georgia,"Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Texas,"Family/Children, Newborn, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Premium
Pennsylvania,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
New Jersey,Wedding,1+ years 4+ years in business,Investment: Moderate
Hawaii,"Wedding, Elopement, Maternity",1+ years in business,Investment: Moderate
North Carolina,"High School Seniors, Family/Children, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
Tennessee,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Luxury
Washington,"High School Seniors, Family/Children",1+ years 4+ years 9+ years in business,Investment: Moderate
New York,"Family/Children, Newborn",1+ years 4+ years in business,Investment: Moderate
Michigan,"Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Premium
"Rhode Island, Massachusetts","Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
"Oregon, Washington","Wedding, Elopement, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Connecticut,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Luxury
Illinois,"Wedding, Boudoir",1+ years in business,Investment: Moderate
Colorado,"Wedding, High School Seniors, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
Nebraska,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
North Dakota,"High School Seniors, Family/Children, Newborn, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
New York,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Florida,"Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4 + years 9+ years in business,Investment: Premium
California,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
California,"Wedding, Maternity, Boudoir",1+ years 4+ years in business,Investment: Average
"South Dakota, Minnesota, Illinois, Florida","Wedding, Elopement, High School Seniors, Branding/Headshots, Other Portraits",1+ years in business,Investment: Moderate
Colorado,"High School Seniors, Family/Children, Newborn, Maternity, Boudoir",1+ years 4+ years in business,Investment: Average
Texas,"High School Seniors, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Premium
Texas,"Wedding, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Virginia.,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
California,"Family/Children, Newborn",1+ years 4+ years 9+ years in business,Investment: Premium
Illinois,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Pennsylvania,"Wedding, Elopement, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Nebraska,"Wedding, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Colorado,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Texas,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Iowa,"High School Seniors, Family/Children, Newborn, Maternity, Animals",1+ years 4+ years 9+ years in business,Investment: Moderate
North Dakota,"Wedding, High School Seniors, Family/Children, Newborn, Boudoir",1+ years 4+ years in business,Investment: Moderate
"Maryland, Virginia., District of Columbia, Pennsylvania","Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years 4+ years in business,Investment: Moderate
Alabama,"Elopement, Family/Children, Birth, Maternity, Boudoir",1+ years in business,Investment: Premium
Oregon,Boudoir,1+ years 4+ years in business,Investment: Moderate
"Missouri, Kansas., Colorado","Wedding, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
Illinois,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Oregon,"Wedding, Elopement, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Moderate
"New York, Massachusetts","Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Luxury
Missouri,"Family/Children, Newborn, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
"Vermont, Massachusetts","Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Washington,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
"Utah, New York, Nevada","Wedding, Family/Children, Newborn",1+ years in business,Investment: Moderate
"Indiana, Illinois","Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Moderate
Massachusetts,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Luxury
"Minnesota, Texas, California","Wedding, Elopement, High School Seniors, Boudoir",1+ years in business,Investment: Moderate
